original_row,filename,predicted_class,confidence
0,00000.png,16,0.98116642
1,00001.png,1,0.92484462
2,00002.png,38,0.89146298
3,00003.png,33,0.94126403
4,00004.png,11,0.93082565
5,00005.png,38,0.91102493
6,00006.png,18,0.94216400
7,00007.png,12,0.92193550
8,00008.png,25,0.92896515
9,00009.png,35,0.95949328
10,00010.png,12,0.93080848
11,00011.png,7,0.94483191
12,00012.png,29,0.21850696
13,00013.png,7,0.92245424
14,00014.png,4,0.95965660
15,00015.png,9,0.93131351
16,00016.png,21,0.98493063
17,00017.png,19,0.90555483
18,00018.png,27,0.91615778
19,00019.png,38,0.91629654
20,00020.png,4,0.94323248
21,00021.png,33,0.93258226
22,00022.png,9,0.91985869
23,00023.png,3,0.90555024
24,00024.png,1,0.90183592
25,00025.png,11,0.92755508
26,00026.png,13,0.90456820
27,00027.png,10,0.90494913
28,00028.png,9,0.91743690
29,00029.png,11,0.94795656
30,00030.png,5,0.93364674
31,00031.png,17,0.93313122
32,00032.png,34,0.93804657
33,00033.png,23,0.24503854
34,00034.png,2,0.88420558
35,00035.png,17,0.94132000
36,00036.png,3,0.93170536
37,00037.png,12,0.89430529
38,00038.png,16,0.98598784
39,00039.png,8,0.56749105
40,00040.png,7,0.92315930
41,00041.png,30,0.98224890
42,00042.png,18,0.93156564
43,00043.png,12,0.92286742
44,00044.png,24,0.98747629
45,00045.png,25,0.94382924
46,00046.png,3,0.91922337
47,00047.png,10,0.87922359
48,00048.png,18,0.96084255
49,00049.png,8,0.93494999
50,00050.png,25,0.88765389
51,00051.png,13,0.90934640
52,00052.png,15,0.94288677
53,00053.png,9,0.93676311
54,00054.png,13,0.92384577
55,00055.png,35,0.95482236
56,00056.png,5,0.93347573
57,00057.png,26,0.92813087
58,00058.png,9,0.93568218
59,00059.png,16,0.95933449
60,00060.png,38,0.90796667
61,00061.png,10,0.92996234
62,00062.png,4,0.92564553
63,00063.png,9,0.91640055
64,00064.png,15,0.84528887
65,00065.png,9,0.93132353
66,00066.png,26,0.97585547
67,00067.png,2,0.90877378
68,00068.png,5,0.91588557
69,00069.png,28,0.88696492
70,00070.png,11,0.94441366
71,00071.png,25,0.92215633
72,00072.png,11,0.96103287
73,00073.png,34,0.96094149
74,00074.png,5,0.89707524
75,00075.png,12,0.89105713
76,00076.png,1,0.62101239
77,00077.png,10,0.90957558
78,00078.png,25,0.89021331
79,00079.png,25,0.91950631
80,00080.png,21,0.97950315
81,00081.png,33,0.94529784
82,00082.png,25,0.91973692
83,00083.png,7,0.94975871
84,00084.png,10,0.90682167
85,00085.png,35,0.94354582
86,00086.png,3,0.90272391
87,00087.png,7,0.93803692
88,00088.png,22,0.95280105
89,00089.png,13,0.92570961
90,00090.png,3,0.92094284
91,00091.png,1,0.91179043
92,00092.png,2,0.87449050
93,00093.png,14,0.94761837
94,00094.png,12,0.91874272
95,00095.png,32,0.97450656
96,00096.png,3,0.91838080
97,00097.png,38,0.91124558
98,00098.png,9,0.93339443
99,00099.png,33,0.94400227
100,00100.png,1,0.92238003
101,00101.png,10,0.90367353
102,00102.png,5,0.94183594
103,00103.png,11,0.93746620
104,00104.png,33,0.91814804
105,00105.png,4,0.91032082
106,00106.png,35,0.94129276
107,00107.png,25,0.93753392
108,00108.png,33,0.94646603
109,00109.png,4,0.90135324
110,00110.png,1,0.76570827
111,00111.png,14,0.94011390
112,00112.png,16,0.97386658
113,00113.png,10,0.90999067
114,00114.png,31,0.80762398
115,00115.png,3,0.91884226
116,00116.png,27,0.96475339
117,00117.png,31,0.53046948
118,00118.png,1,0.90655774
119,00119.png,17,0.92042547
120,00120.png,13,0.89138365
121,00121.png,7,0.93017256
122,00122.png,1,0.91325086
123,00123.png,8,0.93504900
124,00124.png,2,0.90003723
125,00125.png,10,0.90936577
126,00126.png,10,0.91623008
127,00127.png,11,0.64432174
128,00128.png,1,0.90057802
129,00129.png,6,0.93696183
130,00130.png,36,0.96432066
131,00131.png,3,0.90366066
132,00132.png,14,0.93279868
133,00133.png,13,0.91371757
134,00134.png,11,0.88981301
135,00135.png,10,0.88605762
136,00136.png,18,0.94791329
137,00137.png,40,0.83133030
138,00138.png,2,0.86984873
139,00139.png,38,0.88226330
140,00140.png,41,0.94926465
141,00141.png,4,0.91047293
142,00142.png,6,0.94895548
