"original_row","filename","predicted_class","confidence","sign_name"
"0","00000.png","16","0.98116642","3.5톤 초과 차량 통행 금지"
"1","00001.png","1","0.92484462","제한속도 30km/h"
"2","00002.png","38","0.89146298","우측 통행"
"3","00003.png","33","0.94126403","우회전 지시"
"4","00004.png","11","0.93082565","다음 교차로 우선권"
"5","00005.png","38","0.91102493","우측 통행"
"6","00006.png","18","0.94216400","일반 위험 주의"
"7","00007.png","12","0.92193550","우선도로"
"8","00008.png","25","0.92896515","도로 공사"
"9","00009.png","35","0.95949328","직진 지시"
"10","00010.png","12","0.93080848","우선도로"
"11","00011.png","7","0.94483191","제한속도 100km/h"
"12","00012.png","29","0.21850696","자전거 횡단 주의"
"13","00013.png","7","0.92245424","제한속도 100km/h"
"14","00014.png","4","0.95965660","제한속도 70km/h"
"15","00015.png","9","0.93131351","추월 금지"
"16","00016.png","21","0.98493063","연속 굽은도로"
"17","00017.png","19","0.90555483","좌측 위험 굽은도로"
"18","00018.png","27","0.91615778","보행자 주의"
"19","00019.png","38","0.91629654","우측 통행"
"20","00020.png","4","0.94323248","제한속도 70km/h"
"21","00021.png","33","0.93258226","우회전 지시"
"22","00022.png","9","0.91985869","추월 금지"
"23","00023.png","3","0.90555024","제한속도 60km/h"
"24","00024.png","1","0.90183592","제한속도 30km/h"
"25","00025.png","11","0.92755508","다음 교차로 우선권"
"26","00026.png","13","0.90456820","양보"
"27","00027.png","10","0.90494913","3.5톤 초과 차량 추월 금지"
"28","00028.png","9","0.91743690","추월 금지"
"29","00029.png","11","0.94795656","다음 교차로 우선권"
"30","00030.png","5","0.93364674","제한속도 80km/h"
"31","00031.png","17","0.93313122","진입 금지"
"32","00032.png","34","0.93804657","좌회전 지시"
"33","00033.png","23","0.24503854","미끄러운 도로"
"34","00034.png","2","0.88420558","제한속도 50km/h"
"35","00035.png","17","0.94132000","진입 금지"
"36","00036.png","3","0.93170536","제한속도 60km/h"
"37","00037.png","12","0.89430529","우선도로"
"38","00038.png","16","0.98598784","3.5톤 초과 차량 통행 금지"
"39","00039.png","8","0.56749105","제한속도 120km/h"
"40","00040.png","7","0.92315930","제한속도 100km/h"
"41","00041.png","30","0.98224890","빙판·눈길 주의"
"42","00042.png","18","0.93156564","일반 위험 주의"
"43","00043.png","12","0.92286742","우선도로"
"44","00044.png","24","0.98747629","우측 차로 폭 감소"
"45","00045.png","25","0.94382924","도로 공사"
"46","00046.png","3","0.91922337","제한속도 60km/h"
"47","00047.png","10","0.87922359","3.5톤 초과 차량 추월 금지"
"48","00048.png","18","0.96084255","일반 위험 주의"
"49","00049.png","8","0.93494999","제한속도 120km/h"
"50","00050.png","25","0.88765389","도로 공사"
"51","00051.png","13","0.90934640","양보"
"52","00052.png","15","0.94288677","모든 차량 통행 금지"
"53","00053.png","9","0.93676311","추월 금지"
"54","00054.png","13","0.92384577","양보"
"55","00055.png","35","0.95482236","직진 지시"
"56","00056.png","5","0.93347573","제한속도 80km/h"
"57","00057.png","26","0.92813087","신호등 주의"
"58","00058.png","9","0.93568218","추월 금지"
"59","00059.png","16","0.95933449","3.5톤 초과 차량 통행 금지"
"60","00060.png","38","0.90796667","우측 통행"
"61","00061.png","10","0.92996234","3.5톤 초과 차량 추월 금지"
"62","00062.png","4","0.92564553","제한속도 70km/h"
"63","00063.png","9","0.91640055","추월 금지"
"64","00064.png","15","0.84528887","모든 차량 통행 금지"
"65","00065.png","9","0.93132353","추월 금지"
"66","00066.png","26","0.97585547","신호등 주의"
"67","00067.png","2","0.90877378","제한속도 50km/h"
"68","00068.png","5","0.91588557","제한속도 80km/h"
"69","00069.png","28","0.88696492","어린이 보호"
"70","00070.png","11","0.94441366","다음 교차로 우선권"
"71","00071.png","25","0.92215633","도로 공사"
"72","00072.png","11","0.96103287","다음 교차로 우선권"
